framework,family,probe_A,grid_n,n_min,accessible_cell_fraction,accessible_void_fraction,blocked_void_fraction,blocked_clusters,largest_blocked_cluster,speckle_removed
FAU,zeolite,2.5,32,4,0.32421875,0.9458689458689459,0.05413105413105413,8,76,0
FAU,zeolite,2.5,48,4,0.31626157407407407,0.9406196213425129,0.05938037865748709,8,276,12
FAU,zeolite,2.5,64,1,0.3125762939453125,0.9407145481263777,0.05928545187362234,14,644,0
FAU,zeolite,2.5,64,4,0.3126220703125,0.940852314474651,0.059147685525349006,8,644,12
FAU,zeolite,2.5,64,8,0.3126220703125,0.940852314474651,0.059147685525349006,8,644,12
FAU,zeolite,2.5,64,16,0.3126220703125,0.940852314474651,0.059147685525349006,8,644,12
FAU,zeolite,2.5,96,4,0.31172236689814814,0.9443896559281175,0.055610344071882534,14,2024,0
LTL,zeolite,1.8,32,4,0.419830322265625,1.0,0.0,0,0,0
LTL,zeolite,1.8,48,4,0.4195873119212963,1.0,0.0,0,0,0
LTL,zeolite,1.8,64,1,0.41900634765625,1.0,0.0,0,0,0
LTL,zeolite,1.8,64,4,0.41900634765625,1.0,0.0,0,0,0
LTL,zeolite,1.8,64,8,0.41900634765625,1.0,0.0,0,0,0
LTL,zeolite,1.8,64,16,0.41900634765625,1.0,0.0,0,0,0
LTL,zeolite,1.8,96,4,0.4190809461805556,1.0,0.0,0,0,0
ERI,zeolite,1.8,32,4,0.388671875,1.0,0.0,0,0,0
ERI,zeolite,1.8,48,4,0.38811125578703703,1.0,0.0,0,0,0
ERI,zeolite,1.8,64,1,0.3895721435546875,0.9999804163484324,1.958365156767131e-05,2,1,0
ERI,zeolite,1.8,64,4,0.38957977294921875,1.0,0.0,0,0,2
ERI,zeolite,1.8,64,8,0.38957977294921875,1.0,0.0,0,0,2
ERI,zeolite,1.8,64,16,0.38957977294921875,1.0,0.0,0,0,2
ERI,zeolite,1.8,96,4,0.38937943070023145,1.0,0.0,0,0,0
MOF-5,MOF,1.8,32,4,0.7177734375,1.0,0.0,0,0,0
MOF-5,MOF,1.8,48,4,0.7213541666666666,1.0,0.0,0,0,0
MOF-5,MOF,1.8,64,1,0.722900390625,1.0,0.0,0,0,0
MOF-5,MOF,1.8,64,4,0.722900390625,1.0,0.0,0,0,0
MOF-5,MOF,1.8,64,8,0.722900390625,1.0,0.0,0,0,0
MOF-5,MOF,1.8,64,16,0.722900390625,1.0,0.0,0,0,0
MOF-5,MOF,1.8,96,4,0.7252604166666666,1.0,0.0,0,0,0
UiO-66,MOF,1.8,32,4,0.366668701171875,1.0,0.0,0,0,1
UiO-66,MOF,1.8,48,4,0.36598488136574076,1.0,0.0,0,0,0
UiO-66,MOF,1.8,64,1,0.3662109375,1.0,0.0,0,0,0
UiO-66,MOF,1.8,64,4,0.3662109375,1.0,0.0,0,0,0
UiO-66,MOF,1.8,64,8,0.3662109375,1.0,0.0,0,0,0
UiO-66,MOF,1.8,64,16,0.3662109375,1.0,0.0,0,0,0
UiO-66,MOF,1.8,96,4,0.3664923773871528,1.0,0.0,0,0,1
COF-5,COF,1.8,32,4,0.6148681640625,0.9990083300277668,0.0009916699722332407,4,8,2
COF-5,COF,1.8,48,4,0.6125759548611112,0.998261228339031,0.0017387716609689968,9,20,0
COF-5,COF,1.8,64,1,0.61431884765625,0.9997516761857462,0.00024832381425378696,4,20,0
COF-5,COF,1.8,64,4,0.6143341064453125,0.9997765085671716,0.00022349143282840824,2,20,4
COF-5,COF,1.8,64,8,0.6143341064453125,0.9997765085671716,0.00022349143282840824,2,20,4
COF-5,COF,1.8,64,16,0.6143341064453125,0.9997765085671716,0.00022349143282840824,2,20,4
COF-5,COF,1.8,96,4,0.6150490089699074,1.0,0.0,0,0,0
