framework,guest,loading,cutoff_A,blocked_penalty,seed,max_iters,converged_iter,inaccessible,framework_clash,guest_overlap_molecules,total_violations,min_guest_framework_A,min_guest_guest_A
LTL,EC,8,2.2,100.0,0,12000,-1,0,3,6,9,1.7267175755399875,1.9090299520039555
LTL,EC,8,2.2,100.0,1,12000,-1,0,4,5,9,2.0705918042112534,1.999191427388807
LTL,EC,8,2.2,100.0,2,12000,-1,0,3,4,7,2.1486045761124073,2.04298858717696
LTL,EC,8,2.2,100.0,3,12000,-1,0,3,5,8,1.8171022809365807,1.7864628314259983
LTL,EC,8,2.2,100.0,4,12000,-1,0,6,5,11,1.7659113809395104,1.7482124665894863
LTL,EC,8,2.2,100.0,0,30000,-1,0,6,4,10,1.6875549900684172,2.0762453218726273
LTL,EC,8,2.2,100.0,1,30000,-1,0,4,5,9,1.7075364879478592,2.057801553544059
LTL,EC,8,2.2,100.0,2,30000,-1,0,4,5,9,1.8453297898551508,1.8009521544259202
LTL,EC,8,2.2,100.0,3,30000,-1,0,3,7,10,1.9123541367569283,1.9503707039973084
LTL,EC,8,2.2,100.0,4,30000,-1,0,2,3,5,1.9155018914582276,2.1867702606359836
UiO-66,EC,4,2.2,100.0,0,12000,-1,0,3,2,5,1.974935018294387,2.141398366931547
UiO-66,EC,4,2.2,100.0,1,12000,-1,0,2,2,4,1.7302881334868982,1.9307153736707892
UiO-66,EC,4,2.2,100.0,2,12000,-1,0,4,0,4,1.3908086817327954,2.575270201245316
UiO-66,EC,4,2.2,100.0,3,12000,10627,0,2,0,2,1.4526111236218544,2.203098789420429
UiO-66,EC,4,2.2,100.0,4,12000,11782,0,1,0,1,1.9247989639181642,2.2584052065279994
UiO-66,EC,4,2.2,100.0,0,30000,25849,0,1,0,1,2.0556460664807252,3.797000144439728
UiO-66,EC,4,2.2,100.0,1,30000,536,0,2,0,2,1.0888419903155215,2.435268795367316
UiO-66,EC,4,2.2,100.0,2,30000,26127,0,2,0,2,1.2445296739473284,2.2567196643205576
UiO-66,EC,4,2.2,100.0,3,30000,11974,0,2,0,2,1.3536846373991742,2.209350197198571
UiO-66,EC,4,2.2,100.0,4,30000,-1,0,3,0,3,1.6931790532367699,2.246936995283149
UiO-66,LiPF6,4,2.2,100.0,0,12000,-1,0,2,0,2,2.047831038172295,2.3817998357648187
UiO-66,LiPF6,4,2.2,100.0,1,12000,8022,0,2,0,2,1.4193584709957399,2.293194890055012
UiO-66,LiPF6,4,2.2,100.0,2,12000,9944,0,1,0,1,1.685152996044043,2.451473583121779
UiO-66,LiPF6,4,2.2,100.0,3,12000,2730,0,0,0,0,2.2267821284209917,2.2741672591258024
UiO-66,LiPF6,4,2.2,100.0,4,12000,11262,0,2,0,2,0.6623756742318255,2.223005328993526
UiO-66,LiPF6,4,2.2,100.0,0,30000,28196,0,0,0,0,2.2039909307454773,2.215331382625573
UiO-66,LiPF6,4,2.2,100.0,1,30000,24465,0,1,0,1,1.255005550215638,2.2148091060563426
UiO-66,LiPF6,4,2.2,100.0,2,30000,-1,0,3,3,6,1.2434437006804617,2.0124295760522144
UiO-66,LiPF6,4,2.2,100.0,3,30000,2103,0,1,0,1,1.2213315805140357,2.200227196812066
UiO-66,LiPF6,4,2.2,100.0,4,30000,27873,0,2,0,2,1.2500988392500356,2.26767374070958
COF-5,EC,24,2.2,100.0,0,12000,-1,0,2,2,4,1.9724959437956928,2.1194447484613113
